TeamID,Attendance,Avg_Attendance
ARI,2080145,25681
ATL,2001392,24709
BAL,2281202,29246
BOS,2880694,35564
CHC,2919122,36039
CHW,1755810,21677
CIN,2419506,29870
CLE,1388905,17361
COL,2506789,30948
DET,2726048,33655
HOU,2153585,26587
KCR,2708549,33439
LAA,3012765,37195
LAD,3764815,46479
MIA,1752235,21633
MIL,2542558,31390
MIN,2220054,27408
NYM,2569753,31725
NYY,3193795,39430
OAK,1768175,21829
PHI,1831080,22606
PIT,2498596,30847
SDP,2459752,30367
SEA,2193581,27081
SFG,3375882,41678
STL,3520889,43468
TBR,1287054,15322
TEX,2491875,30764
TOR,2794891,34505
WSN,2619843,32344
