Turner Field,ATL,Braves,4.00,7.25,0.45,Atlanta,453990,461154,468303,Turner Field,49586,2548679,31465,2354305,29065,2001392,24709
Turner Field,ATL,Braves,4.00,7.25,0.45,Atlanta,453990,461154,468303,Turner Field,49586,2548679,31465,2354305,29065,2001392,24709
Turner Field,ATL,Braves,4.00,7.25,0.45,Atlanta,453990,461154,468303,Turner Field,49586,2548679,31465,2354305,29065,2001392,24709
Turner Field,ATL,Braves,4.00,7.75,0.48,Atlanta,453990,461154,468303,Turner Field,49586,2548679,31465,2354305,29065,2001392,24709
Turner Field,ATL,Braves,4.00,5.0,0.42,Atlanta,453990,461154,468303,Turner Field,49586,2548679,31465,2354305,29065,2001392,24709
Oriole Park at Camden Yards,BAL,Orioles,7.00,6.75,0.38,Baltimore,622391,623587,622522,Oriole Park at Camden Yards,45971,2357561,29106,2464473,30426,2281202,29246
Oriole Park at Camden Yards,BAL,Orioles,7.00,6.75,0.42,Baltimore,622391,623587,622522,Oriole Park at Camden Yards,45971,2357561,29106,2464473,30426,2281202,29246
Oriole Park at Camden Yards,BAL,Orioles,7.00,6.75,0.42,Baltimore,622391,623587,622522,Oriole Park at Camden Yards,45971,2357561,29106,2464473,30426,2281202,29246
Oriole Park at Camden Yards,BAL,Orioles,7.00,6.75,0.42,Baltimore,622391,623587,622522,Oriole Park at Camden Yards,45971,2357561,29106,2464473,30426,2281202,29246
Oriole Park at Camden Yards,BAL,Orioles,7.00,4.0,0.33,Baltimore,622391,623587,622522,Oriole Park at Camden Yards,45971,2357561,29106,2464473,30426,2281202,29246
Fenway Park,BOS,Red Sox,17.00,7.25,0.6,Boston,653002,662855,670491,Fenway Park,37499,2833333,34979,2956089,36495,2880694,35564
Fenway Park,BOS,Red Sox,17.00,7.75,0.65,Boston,653002,662855,670491,Fenway Park,37499,2833333,34979,2956089,36495,2880694,35564
Fenway Park,BOS,Red Sox,17.00,7.75,0.65,Boston,653002,662855,670491,Fenway Park,37499,2833333,34979,2956089,36495,2880694,35564
Fenway Park,BOS,Red Sox,17.00,7.75,0.65,Boston,653002,662855,670491,Fenway Park,37499,2833333,34979,2956089,36495,2880694,35564
Fenway Park,BOS,Red Sox,17.00,8.0,0.67,Boston,653002,662855,670491,Fenway Park,37499,2833333,34979,2956089,36495,2880694,35564
Great American Ballpark,CIN,Reds,1.00,5.5,0.46,Cincinnati,297905,298626,299439,Great American Ballpark,42319,2492101,31151,2476664,30576,2419506,29870
Great American Ballpark,CIN,Reds,1.00,5.5,0.46,Cincinnati,297905,298626,299439,Great American Ballpark,42319,2492101,31151,2476664,30576,2419506,29870
Great American Ballpark,CIN,Reds,1.00,5.5,0.46,Cincinnati,297905,298626,299439,Great American Ballpark,42319,2492101,31151,2476664,30576,2419506,29870
Great American Ballpark,CIN,Reds,1.00,5.25,0.38,Cincinnati,297905,298626,299439,Great American Ballpark,42319,2492101,31151,2476664,30576,2419506,29870
Great American Ballpark,CIN,Reds,1.00,6.25,0.45,Cincinnati,297905,298626,299439,Great American Ballpark,42319,2492101,31151,2476664,30576,2419506,29870
Progressive Field,CLE,Indians,1.00,4.0,0.33,Cleveland,391792,390871,389244,Progressive Field,42241,1572926,19419,1437393,17746,1388905,17361
Progressive Field,CLE,Indians,1.00,4.0,0.33,Cleveland,391792,390871,389244,Progressive Field,42241,1572926,19419,1437393,17746,1388905,17361
