TeamID,TeamName,TotalGames,BeerYear,Price,OuncePrice,City,Pop2013,Pop2014,Pop2015,ParkName,Cap,Att2013,AV_Att2013,Att2014,AV_Att2014,Att2015,AV_Att2015
LAA,Angels,3.0,2016,4.5,0.28,Anaheim,343832,344604,348251,Angel Stadium of Anaheim,45505,3019505,37278,3095935,38221,3012765,37195
LAA,Angels,3.0,2018,4.5,0.38,Anaheim,343832,344604,348251,Angel Stadium of Anaheim,45505,3019505,37278,3095935,38221,3012765,37195
LAN,Dodgers,19.0,2013,6.25,0.39,Los Angeles,3881622,3909901,3938568,Dodger Stadium,56000,3743527,46216,3782337,46696,3764815,46479
LAN,Dodgers,19.0,2014,6.75,0.34,Los Angeles,3881622,3909901,3938568,Dodger Stadium,56000,3743527,46216,3782337,46696,3764815,46479
LAN,Dodgers,19.0,2015,6.75,0.34,Los Angeles,3881622,3909901,3938568,Dodger Stadium,56000,3743527,46216,3782337,46696,3764815,46479
LAN,Dodgers,19.0,2016,6.25,0.31,Los Angeles,3881622,3909901,3938568,Dodger Stadium,56000,3743527,46216,3782337,46696,3764815,46479
LAN,Dodgers,19.0,2018,6.25,0.39,Los Angeles,3881622,3909901,3938568,Dodger Stadium,56000,3743527,46216,3782337,46696,3764815,46479
NYN,Mets,14.0,2013,5.75,0.48,New York,8396091,8433806,8463049,Citi Field,41922,2135657,26366,2148808,26528,2569753,31725
NYN,Mets,14.0,2014,5.75,0.48,New York,8396091,8433806,8463049,Citi Field,41922,2135657,26366,2148808,26528,2569753,31725
NYN,Mets,14.0,2015,5.75,0.48,New York,8396091,8433806,8463049,Citi Field,41922,2135657,26366,2148808,26528,2569753,31725
NYN,Mets,14.0,2016,5.75,0.48,New York,8396091,8433806,8463049,Citi Field,41922,2135657,26366,2148808,26528,2569753,31725
NYN,Mets,14.0,2018,10.5,0.53,New York,8396091,8433806,8463049,Citi Field,41922,2135657,26366,2148808,26528,2569753,31725
NYA,Yankees,1.0,2013,6.0,0.5,New York,8396091,8433806,8463049,New Yankee Stadium,50291,3279589,40489,3401624,41995,3193795,39430
NYA,Yankees,1.0,2014,6.0,0.5,New York,8396091,8433806,8463049,New Yankee Stadium,50291,3279589,40489,3401624,41995,3193795,39430
NYA,Yankees,1.0,2015,6.0,0.5,New York,8396091,8433806,8463049,New Yankee Stadium,50291,3279589,40489,3401624,41995,3193795,39430
NYA,Yankees,1.0,2016,6.0,0.5,New York,8396091,8433806,8463049,New Yankee Stadium,50291,3279589,40489,3401624,41995,3193795,39430
NYA,Yankees,1.0,2018,6.0,0.5,New York,8396091,8433806,8463049,New Yankee Stadium,50291,3279589,40489,3401624,41995,3193795,39430
OAK,Athletics,6.0,2013,5.0,0.36,Oakland,406648,412901,418211,Oakland-Alameda County Coliseum,35067,1809302,22337,2003628,24736,1768175,21829
OAK,Athletics,6.0,2014,5.0,0.42,Oakland,406648,412901,418211,Oakland-Alameda County Coliseum,35067,1809302,22337,2003628,24736,1768175,21829
OAK,Athletics,6.0,2015,5.0,0.42,Oakland,406648,412901,418211,Oakland-Alameda County Coliseum,35067,1809302,22337,2003628,24736,1768175,21829
OAK,Athletics,6.0,2016,5.0,0.42,Oakland,406648,412901,418211,Oakland-Alameda County Coliseum,35067,1809302,22337,2003628,24736,1768175,21829
OAK,Athletics,6.0,2018,5.5,0.46,Oakland,406648,412901,418211,Oakland-Alameda County Coliseum,35067,1809302,22337,2003628,24736,1768175,21829
PIT,Pirates,8.0,2013,5.5,0.34,Pittsburgh,306902,305964,304070,PNC Park,38362,2256862,27862,2442564,30155,2498596,30847
PIT,Pirates,8.0,2014,5.5,0.34,Pittsburgh,306902,305964,304070,PNC Park,38362,2256862,27862,2442564,30155,2498596,30847
PIT,Pirates,8.0,2015,5.5,0.34,Pittsburgh,306902,305964,304070,PNC Park,38362,2256862,27862,2442564,30155,2498596,30847
PIT,Pirates,8.0,2016,5.5,0.34,Pittsburgh,306902,305964,304070,PNC Park,38362,2256862,27862,2442564,30155,2498596,30847
PIT,Pirates,8.0,2018,6.0,0.38,Pittsburgh,306902,305964,304070,PNC Park,38362,2256862,27862,2442564,30155,2498596,30847
SFN,Giants,17.0,2013,6.75,0.42,San Francisco,839572,850750,863010,AT&T Park,41915,3369106,41087,3368697,41589,3375882,41678
SFN,Giants,17.0,2014,7.0,0.5,San Francisco,839572,850750,863010,AT&T Park,41915,3369106,41087,3368697,41589,3375882,41678
SFN,Giants,17.0,2015,7.0,0.5,San Francisco,839572,850750,863010,AT&T Park,41915,3369106,41087,3368697,41589,3375882,41678
SFN,Giants,17.0,2016,7.5,0.54,San Francisco,839572,850750,863010,AT&T Park,41915,3369106,41087,3368697,41589,3375882,41678
SFN,Giants,17.0,2018,8.25,0.59,San Francisco,839572,850750,863010,AT&T Park,41915,3369106,41087,3368697,41589,3375882,41678
SLN,Cardinals,31.0,2013,6.75,0.56,St. Louis,318476,317399,316010,Busch Stadium III,43975,3369769,41602,3540649,43712,3520889,43468
SLN,Cardinals,31.0,2014,6.75,0.56,St. Louis,318476,317399,316010,Busch Stadium III,43975,3369769,41602,3540649,43712,3520889,43468
SLN,Cardinals,31.0,2015,6.75,0.56,St. Louis,318476,317399,316010,Busch Stadium III,43975,3369769,41602,3540649,43712,3520889,43468
SLN,Cardinals,31.0,2016,5.0,0.42,St. Louis,318476,317399,316010,Busch Stadium III,43975,3369769,41602,3540649,43712,3520889,43468
SLN,Cardinals,31.0,2018,5.0,0.42,St. Louis,318476,317399,316010,Busch Stadium III,43975,3369769,41602,3540649,43712,3520889,43468
WAS,Nationals,4.0,2013,8.25,0.52,Washington,650581,662328,675400,Nationals Park,41222,2652422,32746,2579389,31844,2619843,32344
WAS,Nationals,4.0,2014,6.5,0.41,Washington,650581,662328,675400,Nationals Park,41222,2652422,32746,2579389,31844,2619843,32344
WAS,Nationals,4.0,2015,6.5,0.41,Washington,650581,662328,675400,Nationals Park,41222,2652422,32746,2579389,31844,2619843,32344
WAS,Nationals,4.0,2016,6.5,0.41,Washington,650581,662328,675400,Nationals Park,41222,2652422,32746,2579389,31844,2619843,32344
WAS,Nationals,4.0,2018,7.0,0.5,Washington,650581,662328,675400,Nationals Park,41222,2652422,32746,2579389,31844,2619843,32344
