City,State,POPULATION_2010,POPULATION_2011,POPULATION_2012,POPULATION_2013,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019,Postal Code
Richmond,California,103631,104882,106023,107083,107921,109062,109663,109860,110189,110567,CA
Jurupa Valley,California,95590,97195,98350,99469,100080,101460,103240,105760,108314,109527,CA
San Buenaventura (Ventura),California,107435,108306,109002,109339,109535,109668,109893,110093,110731,109106,CA
Inglewood,California,109658,110501,110866,110954,110840,110693,110271,109907,109038,108151,CA
Santa Maria,California,99689,100293,101116,102057,103021,104462,105811,106298,107218,107263,CA
Daly City,California,101262,102460,103915,104980,105887,106538,106882,106733,106869,106280,CA
West Covina,California,106123,106721,107082,107348,107447,107540,107437,106942,105964,105101,CA
San Mateo,California,97383,98518,99816,101323,102695,103509,104357,104389,104885,104430,CA
Norwalk,California,105544,105903,105976,106122,106189,106237,105844,105466,104798,103949,CA
Rialto,California,99329,100563,101278,101547,102031,102485,102896,103234,103232,103526,CA
Chico,California,86783,87269,87915,88362,89491,90369,91564,93066,94342,103301,CA
El Cajon,California,99823,100795,101537,102303,102789,103230,103527,103468,103041,102708,CA
Burbank,California,103351,103732,104077,104355,104405,104472,104097,104174,103349,102511,CA
Vista,California,93401,94355,95307,96211,96999,99623,100746,100740,100784,101638,CA
Vacaville,California,92557,93225,93660,94023,95394,96224,97994,99604,99949,100670,CA
San Marcos,California,83926,85001,86816,89423,92372,93199,94932,95614,96480,96664,CA
Hesperia,California,90279,91168,91568,91777,92071,92653,93251,94473,95013,95750,CA
Compton,California,96442,96933,97350,97600,97634,97639,97281,97047,96348,95605,CA
Menifee,California,77929,79665,81026,83045,84522,86411,88057,90104,92249,94756,CA
Tracy,California,83620,84302,84727,84872,85713,86953,89181,90701,91818,94740,CA
Mission Viejo,California,93225,94020,94627,96003,96622,96543,96149,95551,94925,94381,CA
Chino,California,78644,79591,79949,80799,84296,85169,87468,89601,91356,94371,CA
South Gate,California,94434,94591,94577,94674,94741,95597,95245,94848,94135,93444,CA
Redding,California,89895,90180,90397,90773,91120,90963,91203,91525,91606,92590,CA
Indio,California,79665,81046,82250,83358,85127,86917,88196,89438,90970,91765,CA
Carson,California,91599,91690,92162,92535,92684,92752,92572,92193,91626,91394,CA
Santa Barbara,California,88468,88605,89285,90082,90815,91275,91518,91517,91203,91364,CA
Westminster,California,89772,90710,91223,91624,91555,91582,91510,91176,90742,90643,CA
Santa Monica,California,89759,90476,91327,92050,92087,92422,92176,91747,91106,90401,CA
Livermore,California,81599,82589,83831,85448,87017,88248,89572,90137,90253,90189,CA
San Leandro,California,85119,85921,86976,88074,89195,90538,90706,90418,89713,88815,CA
Citrus Heights,California,83273,83781,84308,84924,85665,86543,87179,87675,87707,87796,CA
Hawthorne,California,84295,84922,85359,85863,86740,87669,87685,87308,86671,86068,CA
Redwood City,California,77010,77970,79188,81034,82741,85274,85293,86394,86105,85925,CA
Lake Forest,California,77552,78299,78727,79112,79678,81964,83019,83878,85381,85531,CA
Hemet,California,79090,80226,81033,81718,82541,83305,84121,84809,85148,85334,CA
Whittier,California,85319,85633,85968,86326,86482,86705,86600,86326,85791,85098,CA
Newport Beach,California,85329,86073,86522,86877,86688,86585,86510,85740,85074,84534,CA
Milpitas,California,66729,67124,68862,69944,73560,77485,77829,77874,80208,84196,CA
Chino Hills,California,74963,75639,76042,76285,76509,77826,78452,80115,83239,83853,CA
Alhambra,California,83160,83594,84120,84337,84786,84843,85221,84878,84373,83750,CA
Merced,California,79131,79705,80231,80703,81120,81775,82232,82589,83113,83676,CA
Manteca,California,67733,69244,70884,71761,73157,75088,76831,79079,81603,83028,CA
Mountain View,California,74236,75108,76507,77955,79150,80345,80821,81189,83168,82739,CA
Buena Park,California,80792,81553,82045,82717,82621,82770,82988,82619,82187,81788,CA
Pleasanton,California,70381,71133,72098,74026,77454,79265,82330,82831,82357,81777,CA
Folsom,California,72110,72542,73042,72782,74950,75935,76999,77798,78842,81328,CA
Tustin,California,75472,76227,77575,78122,80138,80088,80245,80121,79578,79348,CA
