City,State,POPULATION_2010,POPULATION_2011,POPULATION_2012,POPULATION_2013,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019
Durham, North Carolina,230727,235341,241117,246992,253290,258647,265499,269844,274557,278993
Chula Vista, California,244648,248318,252379,256691,259885,264206,266238,269046,270819,274492
Toledo, Ohio,287065,285425,283185,282352,280712,279898,278897,276688,274864,272779
Fort Wayne, Indiana,254161,256293,257626,259333,260570,262109,263513,265128,267460,270402
St. Petersburg, Florida,245222,245871,246656,248453,252225,255041,259266,262588,264466,265351
Laredo, Texas,236807,241195,245728,249602,252734,255271,257862,259324,260856,262491
Jersey City, New Jersey,248324,252877,256072,257119,258632,260171,260427,263292,263851,262075
Chandler, Arizona,236454,236834,237660,239888,240888,243679,247845,253599,257186,261165
Madison, Wisconsin,233730,236908,239880,243233,245848,248788,252677,255786,257854,259680
Lubbock, Texas,231105,233928,236361,239708,244350,247950,251387,254432,256469,258862
Scottsdale, Arizona,217638,220816,225191,228887,233949,241073,247953,251396,254479,258069
Reno, Nevada,225652,227061,228926,230987,234096,238082,242143,246615,250146,255601
Buffalo, New York,261275,260701,260155,260013,259548,258165,256816,256301,255781,255284
Gilbert town, Arizona,209493,211466,215916,221626,227308,232401,237139,242695,249914,254114
Glendale, Arizona,226236,229304,233588,236869,239964,243103,245903,247784,249955,252381
North Las Vegas, Nevada,216836,218291,221856,225346,228680,232537,236513,240504,245349,251974
Winston-Salem, North Carolina,230022,231867,233867,235728,238478,239755,241776,244501,246535,247945
Chesapeake, Virginia,223556,225361,228091,230327,233360,235111,237464,240143,242359,244835
Norfolk, Virginia,242999,243655,246149,245468,246576,246457,245680,244543,243585,242742
Fremont, California,214553,217391,221426,224796,228274,231687,233478,234544,237811,241110
Garland, Texas,227345,230055,233698,234660,235590,237161,236310,238327,241709,239928
Irving, Texas,216859,219859,225748,228943,232584,237201,239898,240608,241424,239798
Hialeah, Florida,225470,228127,230445,232316,232850,233872,234283,236314,234941,233339
Richmond, Virginia,204302,206391,210794,213860,217044,220856,225369,227230,229221,230436
Boise City, Idaho,209576,212635,215627,217330,219440,220850,224604,227648,228442,228959
Spokane, Washington,209525,209042,209304,210036,211095,212545,215191,217415,219332,222081
Baton Rouge, Louisiana,229374,228643,228889,228346,227851,227202,226686,224414,222190,220236
Tacoma, Washington,198230,199519,201537,202127,203740,206784,210248,213417,216111,217827
San Bernardino, California,210637,212159,213161,213789,214222,215325,216036,216902,216323,215784
Modesto, California,203301,204017,205040,206075,207652,209245,211231,213000,214389,215196
Fontana, California,197317,199880,201212,202670,203972,206163,208718,211122,213202,214547
Des Moines, Iowa,205032,207924,210244,212026,214350,215243,216308,216662,215994,214237
Moreno Valley, California,194240,196590,198214,200195,201831,202919,204711,206741,208889,213055
Santa Clarita, California,208822,209843,210672,211376,212283,213184,213526,213734,213549,212979
Fayetteville, North Carolina,208337,208745,208884,211069,210076,209596,211065,209091,210748,211657
Birmingham, Alabama,212328,212095,211287,211765,211651,212259,211977,211533,210487,209403
Oxnard, California,198539,199968,201105,202835,204560,206228,207455,208831,209271,208881
Rochester, New York,210217,210491,210329,210179,209329,208561,207659,206410,206004,205695
Port St. Lucie, Florida,164848,166283,167888,169405,172669,177695,183521,189119,194808,201846
Grand Rapids, Michigan,188007,189104,190821,192982,194335,195056,196556,199135,200136,201013
Huntsville, Alabama,180941,182327,183748,186001,187834,190333,192412,195420,198125,200574
Salt Lake City, Utah,186643,188265,190183,192121,191837,192163,194680,200932,200435,200567
Frisco, Texas,118201,123515,128445,136794,144965,154390,164176,177730,188452,200490
Yonkers, New York,196407,197584,198057,198769,199367,199667,200077,199873,199883,200370
Amarillo, Texas,191249,193763,195404,196248,197200,197816,198694,199722,199183,199371
Glendale, California,191720,192656,193859,195318,198232,199197,200118,201804,200688,199303
Huntington Beach, California,191296,192995,194174,197107,199610,200653,200284,200938,200126,199223
McKinney, Texas,132934,137928,143510,149207,157143,163612,173577,182104,191748,199177
Montgomery, Alabama,205593,205198,203946,202439,201435,201018,200441,200047,198899,198525
Augusta-Richmond County consolidated government (balance), Georgia,196375,195847,196989,196602,196579,196763,197276,197018,197025,197888
Aurora, Illinois,198207,199150,199648,199803,200189,200315,200799,200391,199199,197757
Akron, Ohio,199081,199112,198969,198972,199008,198588,198068,198085,197884,197597
Little Rock, Arkansas,193972,195292,196564,197143,197595,198178,198631,198314,197484,197312
Tempe, Arizona,162323,164477,168549,170740,175636,179114,184877,185792,191746,195805
Columbus, Georgia,191101,195271,198965,203225,200563,198702,196219,193836,194169,195769
Overland Park, Kansas,174040,176034,178683,180932,183980,186222,189302,191327,192724,195494
Grand Prairie, Texas,175974,178903,182030,183891,185824,188411,192095,193973,193989,194543
Tallahassee, Florida,181438,182997,186298,185602,187094,188645,188870,191655,192763,194500
Cape Coral, Florida,154731,157330,160558,164336,168365,173572,178534,183701,189468,194495
Mobile, Alabama,194577,193801,193761,193288,192582,191975,191472,190190,189809,188720
Knoxville, Tennessee,178258,179955,181093,181779,182631,184046,184986,186905,187362,187603
Shreveport, Louisiana,201437,202327,202347,200469,198259,197001,194672,192023,189360,187112
Worcester, Massachusetts,181759,182387,182575,183327,184559,184627,184859,185325,185555,185428
Ontario, California,164377,165756,166630,167096,168097,170210,172561,175334,180718,185010
Vancouver, Washington,167595,169046,170035,171565,173406,176409,178621,180360,182887,184463
Sioux Falls, South Dakota,154533,156471,159847,163478,167050,170183,173503,177636,180398,183793
Chattanooga, Tennessee,170574,172341,173972,175325,175321,176400,177746,179530,181918,182799
Brownsville, Texas,175362,178154,179652,180648,181656,181528,182311,182384,182333,182781
Fort Lauderdale, Florida,166126,169012,170909,172275,175153,177356,178837,179877,182101,182437
Providence, Rhode Island,178029,178332,178813,178692,179119,179252,179548,179252,179520,179883
Newport News, Virginia,180888,180078,180056,181275,181522,180958,180209,179447,178523,179225
Rancho Cucamonga, California,166226,167928,169959,170815,173220,174203,175782,176921,177345,177603
Santa Rosa, California,175238,176243,177093,178684,180585,181485,181909,181596,176750,176753
Peoria, Arizona,154846,155014,155326,156354,157770,160431,164212,168192,172263,175961
Oceanside, California,168079,170008,171590,173175,174318,175189,175451,175884,175758,175742
Elk Grove, California,153375,155615,158083,160251,162701,165997,169156,171425,172603,174775
Salem, Oregon,155247,156171,157369,158814,160675,163175,166478,169627,172646,174365
Pembroke Pines, Florida,155265,158278,160245,162133,164065,165800,168321,170707,171975,173591
Eugene, Oregon,156527,157424,158238,158441,160260,162910,165927,169391,170701,172622
Garden Grove, California,171181,172957,173809,174422,174423,174343,174571,173422,172195,171644
Cary town, North Carolina,137086,142209,146154,151328,155439,159712,162477,165927,168042,170282
Fort Collins, Colorado,145268,146673,149508,152668,156804,160991,163004,165541,168324,170243
Corona, California,153052,154693,157405,158763,160419,163154,166067,167310,168476,169868
Springfield, Missouri,159376,160246,161915,163708,164749,166133,166541,167116,167539,167882
Jackson, Mississippi,173698,175149,174822,172927,172014,170901,169022,166823,163772,160628
Alexandria, Virginia,140729,144219,147291,149637,151375,153654,156698,159215,159069,159428
Hayward, California,144835,146935,149406,151753,154376,157999,159331,160324,159760,159203
Clarksville, Tennessee,133486,136104,142652,142281,145899,148147,149162,152917,156376,158146
Lakewood, Colorado,142759,144087,145396,146878,149434,152052,154039,154966,156682,157935
Lancaster, California,156824,158078,158253,159055,159634,159813,159633,159434,158622,157601
Salinas, California,150887,152412,153815,154958,155717,156244,156830,156463,155647,155465
Palmdale, California,152936,153996,154861,156495,156770,156988,156739,156558,156158,155079
Hollywood, Florida,141013,143421,144998,146038,146978,148313,151630,153371,154381,154817
Springfield, Massachusetts,153569,153773,153933,154056,154376,154582,154028,154207,154329,153606
