City,State,POPULATION_2010,POPULATION_2011,POPULATION_2012,POPULATION_2013,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019
Lawrence, Kansas,88232,89301,90118,91348,92881,94207,95655,96637,97187,98193
Orem, Utah,88722,89605,90578,91318,91362,93777,96902,97674,97430,97828
Longmont, Colorado,86440,87691,88903,90221,90623,92280,93269,94637,96536,97261
San Marcos, California,83926,85001,86816,89423,92372,93199,94932,95614,96480,96664
Albany, New York,97753,97956,98409,98488,98366,98232,97941,97735,97011,96460
Sandy, Utah,90227,91076,91929,92599,93341,94537,96444,96406,96737,96380
Concord, North Carolina,79571,80725,82134,83416,85395,87490,89763,92164,94192,96341
Federal Way, Washington,89556,90664,91913,92632,93421,95254,97131,97274,96726,96289
Hesperia, California,90279,91168,91568,91777,92071,92653,93251,94473,95013,95750
Brockton, Massachusetts,93809,94117,94050,94361,94858,95425,95441,95682,95723,95708
Compton, California,96442,96933,97350,97600,97634,97639,97281,97047,96348,95605
Flint, Michigan,102035,101256,100233,99479,98617,97823,97110,96460,95926,95538
Erie, Pennsylvania,101719,101511,101290,100532,99714,99030,98211,97214,96298,95508
New Bedford, Massachusetts,95059,94896,94998,95065,95121,95128,95135,95083,95371,95363
Fishers, Indiana,77832,80503,82389,84416,86865,88656,89809,91606,93407,95310
Sunrise, Florida,84548,86303,88582,89757,90661,91928,93668,94274,95219,95166
Roswell, Georgia,88794,90902,93210,93661,93597,93827,94549,94699,94665,94763
Menifee, California,77929,79665,81026,83045,84522,86411,88057,90104,92249,94756
Tracy, California,83620,84302,84727,84872,85713,86953,89181,90701,91818,94740
Plantation, Florida,85331,86874,87928,90051,90968,91904,92767,93824,94019,94580
Quincy, Massachusetts,92457,92544,92973,93470,93685,93766,94130,94322,94403,94470
Portsmouth, Virginia,95451,95748,96480,96075,95829,96336,95165,94838,94750,94398
Mission Viejo, California,93225,94020,94627,96003,96622,96543,96149,95551,94925,94381
Chino, California,78644,79591,79949,80799,84296,85169,87468,89601,91356,94371
Lynn, Massachusetts,90532,90709,91437,92025,92565,93057,93185,93915,94336,94299
Edmond, Oklahoma,81451,82910,84877,86926,88599,90118,91388,91700,92893,94054
Dearborn, Michigan,97849,97173,96878,96065,95973,95488,95052,94708,94379,93932
Livonia, Michigan,96627,96142,95921,95239,95229,94843,94507,94237,94019,93665
Yakima, Washington,91637,92605,92654,92713,92790,92953,93429,93500,93548,93637
South Gate, California,94434,94591,94577,94674,94741,95597,95245,94848,94135,93444
Greenville, North Carolina,85096,86269,87625,88847,89242,90499,90966,92008,92689,93400
Lawton, Oklahoma,97849,98208,98415,96977,96660,95965,94117,94009,92945,93025
Kirkland, Washington,80866,82036,83358,84455,85971,87312,87990,89010,89909,93010
Asheville, North Carolina,83459,84457,85321,86355,87837,89374,91123,91748,92630,92870
Deltona, Florida,85096,84979,85139,85583,86295,87728,89314,90586,91718,92757
Redding, California,89895,90180,90397,90773,91120,90963,91203,91525,91606,92590
Bellingham, Washington,81297,81859,82299,82593,83386,84998,86954,89031,90464,92314
Suffolk, Virginia,84813,84750,85251,85751,86882,88079,89194,90108,90975,92108
Indio, California,79665,81046,82250,83358,85127,86917,88196,89438,90970,91765
Mount Pleasant town, South Carolina,68509,69807,72172,74906,77937,81617,84476,87295,89869,91684
Carson, California,91599,91690,92162,92535,92684,92752,92572,92193,91626,91394
Santa Barbara, California,88468,88605,89285,90082,90815,91275,91518,91517,91203,91364
Conroe, Texas,65731,67352,69662,70676,73779,76322,82068,84809,87578,91079
Westminster, California,89772,90710,91223,91624,91555,91582,91510,91176,90742,90643
Santa Monica, California,89759,90476,91327,92050,92087,92422,92176,91747,91106,90401
New Braunfels, Texas,58059,59319,60885,63025,65902,70133,73351,78902,84495,90209
Livermore, California,81599,82589,83831,85448,87017,88248,89572,90137,90253,90189
Palm Coast, Florida,75499,76641,77363,78409,80027,81938,84155,86146,87660,89800
St. George, Utah,72837,73789,75010,76275,77942,79574,81696,84547,87113,89587
Fall River, Massachusetts,88882,88827,88852,88992,89148,89258,89287,89298,89630,89541
Nashua, New Hampshire,86567,86809,86927,87324,87651,88271,88648,88990,88871,89355
Champaign, Illinois,81405,82330,83202,84112,84953,86218,87244,87839,87994,88909
Miami Beach, Florida,87722,88713,89566,90152,90184,90570,90652,90642,89808,88885
Norwalk, Connecticut,85956,86611,87257,87728,88023,88248,88441,88357,89061,88816
San Leandro, California,85119,85921,86976,88074,89195,90538,90706,90418,89713,88815
O'Fallon, Missouri,79964,81184,82136,83136,84221,85061,86449,87523,88364,88673
Newton, Massachusetts,85373,85827,87029,87479,88269,88588,88569,88836,88641,88414
Reading, Pennsylvania,88040,88195,88141,88264,88171,88047,88128,88134,88542,88375
Avondale, Arizona,76232,77279,78718,79745,80726,81924,83288,84742,85715,87931
Fort Smith, Arkansas,86291,87205,87624,87385,87131,87677,87561,87834,87720,87891
Citrus Heights, California,83273,83781,84308,84924,85665,86543,87179,87675,87707,87796
Ogden, Utah,83100,83312,83874,84180,84406,85295,86742,87061,87202,87773
Fayetteville, Arkansas,73962,75604,76969,78652,80417,82332,83620,85587,86615,87590
Fort Myers, Florida,62503,63818,65504,67802,70449,73470,76752,80015,82229,87103
Goodyear, Arizona,65502,66589,67822,70392,72346,74815,77412,79945,82873,86840
Bryan, Texas,76517,77196,77832,78939,80667,82052,83171,84188,84817,86276
Waukegan, Illinois,89167,88998,88799,88897,88791,88369,88157,87615,86680,86075
Hawthorne, California,84295,84922,85359,85863,86740,87669,87685,87308,86671,86068
Redwood City, California,77010,77970,79188,81034,82741,85274,85293,86394,86105,85925
Hoover, Alabama,80953,81617,82952,83581,84005,84592,84895,85235,85517,85768
Bloomington, Indiana,80612,81497,82160,82457,83162,83596,84387,84837,85139,85755
Duluth, Minnesota,86191,86239,86162,86045,86095,85985,86084,85979,85856,85618
Lake Forest, California,77552,78299,78727,79112,79678,81964,83019,83878,85381,85531
Hemet, California,79090,80226,81033,81718,82541,83305,84121,84809,85148,85334
Whittier, California,85319,85633,85968,86326,86482,86705,86600,86326,85791,85098
Clifton, New Jersey,84169,84690,84695,84898,85141,85240,85192,85267,85251,85052
Largo, Florida,79372,79480,79738,80422,80852,81903,84088,84686,84937,84948
Bloomington, Minnesota,83036,83937,84867,85078,85052,85190,85459,85588,85474,84943
Danbury, Connecticut,81308,82085,82777,83577,83681,84200,84927,84616,84675,84694
Santa Fe, New Mexico,81012,81706,82144,82584,82824,83117,83515,83954,84211,84683
Johns Creek, Georgia,77090,79218,81852,82455,82743,82980,83930,84282,84320,84579
Newport Beach, California,85329,86073,86522,86877,86688,86585,86510,85740,85074,84534
Kennewick, Washington,74447,75585,75930,76579,77339,78724,80081,81621,82696,84347
Mission, Texas,78118,79728,80920,81486,82167,82823,83257,83576,83958,84331
Milpitas, California,66729,67124,68862,69944,73560,77485,77829,77874,80208,84196
Troy, Michigan,81020,81649,82271,83007,83399,83496,84092,84187,84111,84092
Chino Hills, California,74963,75639,76042,76285,76509,77826,78452,80115,83239,83853
Alhambra, California,83160,83594,84120,84337,84786,84843,85221,84878,84373,83750
Merced, California,79131,79705,80231,80703,81120,81775,82232,82589,83113,83676
Trenton, New Jersey,85004,84854,84631,84503,84042,83519,83313,83497,83604,83203
Franklin, Tennessee,62820,64357,66359,68876,70620,72573,74695,78265,81027,83097
Medford, Oregon,75043,75617,76153,76840,77763,78990,80174,81191,82333,83072
Melbourne, Florida,76363,76537,76854,77393,78276,79323,80656,81822,82603,83029
Manteca, California,67733,69244,70884,71761,73157,75088,76831,79079,81603,83028
Mountain View, California,74236,75108,76507,77955,79150,80345,80821,81189,83168,82739
Sioux City, Iowa,82858,83096,82689,82608,82534,82669,82748,82234,82380,82651
Lynchburg, Virginia,75548,76584,77269,77940,78141,79134,79710,80523,81309,82168
Buena Park, California,80792,81553,82045,82717,82621,82770,82988,82619,82187,81788
Pleasanton, California,70381,71133,72098,74026,77454,79265,82330,82831,82357,81777
Longview, Texas,80565,81024,81190,81249,81253,81717,81378,80980,81191,81631
Westland, Michigan,83959,83518,83334,82659,82628,82321,82115,81940,81752,81511
Auburn, Washington,70560,71748,73474,74924,76198,77479,78725,81333,81789,81464
Cranston, Rhode Island,80757,80881,81066,81033,81248,81306,81221,81022,81335,81456
Somerville, Massachusetts,75877,76710,77620,78573,78991,79715,80936,81204,81357,81360
Folsom, California,72110,72542,73042,72782,74950,75935,76999,77798,78842,81328
Springdale, Arkansas,71129,72453,73712,75121,76238,77524,78737,79819,80907,81125
Deerfield Beach, Florida,75178,76504,77395,78002,78565,79334,79972,80525,80666,81066
Warwick, Rhode Island,82643,82049,81700,81548,81710,81142,81027,80820,80966,81004
Cicero town, Illinois,84267,84438,84569,84601,84397,83884,83219,82399,81477,80796
Farmington Hills, Michigan,79761,80345,80922,81490,81744,81536,81560,81426,80939,80612
Brooklyn Park, Minnesota,75963,76883,77905,78471,78816,79256,79871,80322,80524,80389
Lawrence, Massachusetts,76551,77260,77910,78382,79182,79699,79818,80003,80112,80028
Plymouth, Minnesota,70715,71703,73104,74096,75176,76034,77341,78128,79345,79768
Buckeye, Arizona,51350,52486,54389,56603,59100,61633,64641,68534,74339,79620
Georgetown, Texas,48012,50310,52483,54831,58974,63533,67028,70640,74275,79604
Cedar Park, Texas,55777,58840,61496,64800,67161,69556,72545,75559,76903,79462
Tustin, California,75472,76227,77575,78122,80138,80088,80245,80121,79578,79348
Lakewood, California,80079,80413,80672,80883,80927,80951,80895,80510,79907,79307
Perris, California,69000,70426,71229,72295,73485,74613,76046,77563,78903,79291
Flower Mound town, Texas,64864,65982,67764,68375,69525,70985,73533,76700,77562,79135
Pharr, Texas,70778,72142,73327,74165,75348,76369,77363,78649,78925,79112
Loveland, Colorado,67157,69321,70384,71337,72514,74886,76399,76880,77752,78877
Boynton Beach, Florida,68411,68905,70049,71305,73155,74005,75877,77711,77949,78679
New Rochelle, New York,77233,77701,78328,79265,79342,79419,79455,79084,78822,78557
Temple, Texas,66614,67124,68756,69544,70199,71786,73003,74377,76165,78439
Lake Charles, Louisiana,72531,72873,73665,73886,74513,75685,76462,77586,78266,78396
Jonesboro, Arkansas,67548,68998,70440,71604,72303,73763,74797,75938,77234,78394
Napa, California,77185,77679,78168,78728,79384,79636,79616,79083,78946,78130
Parma, Ohio,81456,80961,80623,80453,80166,80037,79627,79103,78622,78103
Layton, Utah,67813,68479,68899,70978,72360,73929,75482,76447,77181,78014
Alameda, California,73946,74692,75637,76479,77509,78459,79091,79037,78344,77624
Warner Robins, Georgia,70047,71523,72522,73253,73859,73991,74950,75394,76365,77617
Rapid City, South Dakota,69154,69587,70739,71730,72995,73370,74116,75237,76170,77503
Bloomington, Illinois,76848,77308,78020,79269,78901,78414,78343,78134,77804,77330
Gastonia, North Carolina,71707,71871,72503,72789,73183,74009,74963,76307,76885,77273
Baytown, Texas,71757,72500,73311,75334,75926,76286,76369,76693,76592,77192
Upland, California,73884,74465,74933,75188,75542,75970,76374,76778,76833,77140
Racine, Wisconsin,78460,78170,77904,77782,77607,77290,77155,77188,77075,76760
Scranton, Pennsylvania,76079,75926,76024,75831,75443,77149,77235,77214,77017,76653
South Jordan, Utah,51301,53309,55842,59142,62446,66034,68545,70929,73837,76598
Bellflower, California,76624,76939,77202,77404,77532,77794,77581,77326,76906,76435
Kalamazoo, Michigan,74334,74697,75545,75792,76099,75820,75826,75803,76483,76200
San Ramon, California,71585,72174,72850,73560,74329,75138,75703,75795,75851,75995
Bethlehem, Pennsylvania,74979,75061,75040,74852,74966,74966,75273,75546,75742,75815
Wyoming, Michigan,72131,72729,73509,74307,74986,75298,75685,76056,75839,75667
Hammond, Indiana,80718,80220,79648,79009,78586,77688,77151,76489,75877,75522
Missoula, Montana,67466,68078,68877,69487,70227,71292,72779,74077,74882,75516
Missouri City, Texas,66905,67441,68107,69314,71076,73611,74359,74617,74834,75457
Pasco, Washington,62928,65539,67673,68398,69500,70330,71514,72810,74485,75432
Baldwin Park, California,75421,75750,76183,76364,76375,76427,76219,75948,75572,75251
Iowa City, Iowa,68050,69201,70182,71454,72831,73497,74587,75690,75696,75130
Rancho Cordova, California,65067,65970,66725,67722,69389,70640,72162,73398,74478,75087
Rock Hill, South Carolina,66879,67593,68131,68788,69690,71183,72460,73414,74458,75048
Flagstaff, Arizona,66088,66071,67913,68090,68609,69966,71149,72037,73762,75038
Gary, Indiana,80155,79645,79128,78518,77985,77128,76450,75775,75210,74879
St. Joseph, Missouri,76659,77202,77332,77221,76994,76496,76443,76076,75604,74875
Arlington Heights village, Illinois,75252,75528,75918,76116,76145,75987,75795,75473,75116,74760
Bolingbrook village, Illinois,73475,73789,73949,73909,74032,74142,74383,75003,75043,74545
Rochester Hills, Michigan,71038,71694,72455,73116,73363,73627,73849,74517,74544,74516
Framingham, Massachusetts,68665,69656,70061,70411,70786,70938,71459,71784,72909,74416
Union City, California,69630,70597,71642,72552,73481,74343,75465,75227,74560,74107
Appleton, Wisconsin,72704,72921,73128,73591,74001,74151,74392,74524,74378,74098
Turlock, California,68848,69251,69719,70261,70868,71776,72578,73241,73396,73631
Camden, New Jersey,76805,77049,76711,76283,75673,75204,73818,73728,73725,73562
Bismarck, North Dakota,61589,62768,64772,67127,69011,71413,72580,73141,73229,73529
Evanston, Illinois,74585,75142,75723,75984,75994,75619,75243,74617,73990,73473
Apple Valley town, California,69307,70025,70381,70706,71141,71747,72262,72871,73349,73453
Schaumburg village, Illinois,74294,74551,74775,74911,74903,74651,74592,74039,73388,72887
Woodbury, Minnesota,62250,63559,64472,65523,66625,67445,68495,69520,71231,72828
Kissimmee, Florida,59694,61323,63422,64921,66509,68633,69407,71446,73751,72717
Southfield, Michigan,71760,72248,72711,73226,73439,73389,73465,73386,72976,72689
Maple Grove, Minnesota,61778,63196,64504,65442,66966,68405,69678,70812,71711,72622
Pittsburg, California,63522,64546,65523,66646,67974,69260,70798,72000,72450,72588
New Britain, Connecticut,73251,73274,73221,73050,73048,73213,72816,72626,72591,72495
Jacksonville, North Carolina,78089,75194,76365,75681,74217,74306,72745,72800,72775,72436
Mansfield, Texas,57088,58331,59682,61228,62605,64705,66253,68841,70796,72419
Waukesha, Wisconsin,71215,71224,71717,71775,72009,72375,72405,72516,72453,72299
Frederick, Maryland,65455,65954,66402,66827,68275,69372,69881,70947,71945,72244
Albany, Georgia,77420,77893,77537,76416,75940,74891,73957,73252,73219,72130
Pawtucket, Rhode Island,71267,71406,71582,71623,71693,71755,71775,71600,71973,72117
Redmond, Washington,54731,55674,56741,57606,59416,60770,62794,64872,67436,71929
Lauderhill, Florida,67084,68246,69012,69531,70110,70901,71474,71915,71924,71868
Lafayette, Indiana,68925,69916,70163,70976,71012,71143,71960,72110,72233,71721
Gulfport, Mississippi,67904,68865,69782,70801,71173,71346,71518,71945,71771,71705
Redlands, California,68807,69320,69637,69800,70209,70625,71027,71342,71416,71513
Weston, Florida,65591,66840,67702,68333,68926,69687,70324,70901,71030,71166
St. Charles, Missouri,66396,66633,66986,68151,68568,69120,69402,70390,70807,71028
Decatur, Illinois,76105,75922,75449,74955,74155,73265,72510,71790,71136,70746
North Port, Florida,57389,57726,58416,59113,60323,62244,64371,66272,68438,70724
North Richland Hills, Texas,63479,64256,65254,67239,68424,69145,69973,70516,70686,70670
Greenville, South Carolina,59414,59810,60171,60625,61505,63606,67134,68474,68849,70635
Bowling Green, Kentucky,59727,60357,61294,62698,63528,64940,66087,67866,68633,70543
Broomfield, Colorado,56226,57493,58971,60149,61764,64866,66513,68263,69324,70465
Canton, Ohio,73427,73181,73147,72915,72634,72173,71629,71156,70752,70447
Marysville, Washington,60193,61243,62297,63135,64919,66558,67586,68897,69606,70298
Walnut Creek, California,64314,64827,65529,66812,67500,68747,69235,69645,69843,70166
Wilmington, Delaware,70764,70868,71045,71201,71201,71131,70919,70658,70457,70166
Camarillo, California,65257,65515,65656,65882,66517,67171,67141,67403,68883,69888
Lynwood, California,69595,69661,70576,71146,71193,71397,70979,70685,70285,69887
Lehi, Utah,48170,49677,51385,55089,57000,59034,61690,63674,65958,69724
Passaic, New Jersey,69861,70144,69966,70081,70240,70237,70130,70123,69932,69703
Homestead, Florida,61034,62214,63148,64246,65290,66192,68045,69124,69254,69523
Delray Beach, Florida,60801,61495,62267,64177,65004,66203,67546,68708,69176,69451
Davis, California,65584,65657,65781,66213,66545,67367,68028,68802,69220,69413
Lake Elsinore, California,53627,55078,56044,57711,60111,61955,63807,66066,68051,69283
Daytona Beach, Florida,61626,61720,62199,62957,63560,64962,67076,68096,68709,69186
Dothan, Alabama,66097,66619,67212,67666,68122,68295,68287,68293,68337,68941
Rocklin, California,57474,58426,58962,59613,60060,60908,62605,64654,67065,68823
Eau Claire, Wisconsin,66298,66841,67342,67892,67747,67740,68254,68547,68770,68802
Rogers, Arkansas,56361,58226,59666,60663,62086,63584,65236,66605,67635,68669
Castle Rock town, Colorado,48586,49693,51017,52657,55154,57175,59284,62297,65000,68484
St. Cloud, Minnesota,65919,65873,65930,66085,66536,67352,67832,68103,68181,68462
Bossier City, Louisiana,62120,63540,65414,66191,67078,68157,68125,68471,68316,68159
Rockville, Maryland,61484,62055,63286,63825,65445,66733,66923,67830,68028,68079
Muncie, Indiana,70193,70406,69757,69710,69606,69121,69148,68854,68115,67999
Gaithersburg, Maryland,60185,61440,63037,65673,66518,67081,67587,67987,68070,67985
Union City, New Jersey,66459,67446,67844,68232,68302,68119,68365,68485,68124,67982
West Des Moines, Iowa,56864,57562,58154,59733,61827,63489,64595,65556,66605,67899
South San Francisco, California,63701,64448,65581,66237,66813,67221,67220,67180,67617,67789
Yorba Linda, California,64390,65610,66282,66803,67359,67527,68033,67895,67589,67644
Conway, Arkansas,59592,61630,62818,63359,64403,64769,65232,65958,67032,67638
Lodi, California,62253,62741,63048,63128,63620,64264,64578,65715,67003,67586
Palatine village, Illinois,68611,68886,69170,69378,69427,69302,68953,68506,67942,67482
Ankeny, Iowa,45845,47043,48363,50785,53299,56109,58609,62365,65248,67355
Mount Vernon, New York,67399,67751,67844,68133,68213,68281,68245,67966,67655,67345
Rowlett, Texas,56345,57011,57771,58090,58471,60355,62291,62992,66126,67339
Waterloo, Iowa,68492,68554,68535,68700,68676,68619,68108,67758,67722,67328
Lakeville, Minnesota,56161,56711,57471,58697,59976,60791,61997,63677,65778,67317
Alpharetta, Georgia,57691,59141,61577,61937,62693,63337,65411,65734,66257,67213
Jackson, Tennessee,66814,66726,67018,67467,67112,66760,66718,66748,66952,67191
Yuba City, California,65631,65364,65283,65538,65757,66134,66218,66564,66695,67010
Oshkosh, Wisconsin,66328,66360,66862,66943,66796,66684,66634,66705,66802,67004
Victoria, Texas,62675,63113,64244,64964,65904,67154,67346,67019,66835,66916
Johnson City, Tennessee,63528,63951,64370,64706,65106,65497,66140,66164,66759,66906
Redondo Beach, California,66933,67192,67438,67629,67673,67771,67809,67511,67206,66749
Tamarac, Florida,60921,62019,62752,63262,63731,64499,65517,66148,66447,66721
Laguna Niguel, California,63119,63774,64134,64381,65079,65396,65145,66011,66079,66385
Eagan, Minnesota,64202,64488,64878,65403,65996,66212,66328,66594,66472,66372
Kenner, Louisiana,66635,66814,66781,66836,66776,66896,67083,66933,66584,66340
Auburn, Alabama,53785,54950,57149,58816,60372,61754,62773,63927,65495,66259
Ames, Iowa,59098,60440,61427,63053,64773,65685,65915,66301,66001,66258
Portland, Maine,66088,66183,66216,66391,66832,66825,66911,66646,66405,66215
North Little Rock, Arkansas,62436,63482,64645,65929,66656,66388,66141,65855,66022,65903
Sammamish, Washington,57656,58726,59973,61006,62174,63266,63817,64929,65495,65892
Madera, California,61603,61907,62382,62749,63230,63690,64187,64941,65440,65860
Shawnee, Kansas,62311,63011,63559,64243,64449,64994,65376,65556,65933,65807
Jupiter town, Florida,55468,56214,57203,58501,60772,62810,64066,64888,65377,65791
Doral, Florida,45953,47024,47877,50052,53643,55482,57704,60222,60762,65741
Blaine, Minnesota,57409,58194,59438,60500,61386,62360,63191,64288,65082,65607
Tulare, California,59432,59789,60625,60905,61444,61915,62538,63486,64274,65496
Youngstown, Ohio,66876,66556,66056,65470,65142,64687,64335,64540,64860,65469
Wellington village, Florida,56830,57506,58593,60303,61507,62605,64204,64793,65058,65398
Pflugerville, Texas,48717,50273,51988,53813,54714,57241,59500,63260,64172,65380
Palo Alto, California,64535,65345,66089,66613,66848,66782,67353,66960,66258,65364
Schenectady, New York,66151,66098,66087,65829,65846,65538,65076,65300,65345,65273
Harlingen, Texas,65102,65638,65786,65674,65510,65208,65229,65153,64996,65022
Bayonne, New Jersey,63050,63945,64252,64736,65369,65290,65315,65333,64677,64897
Eden Prairie, Minnesota,60899,61667,62392,62673,63341,63608,64001,64193,64263,64893
Port Orange, Florida,56627,56727,56978,57508,58983,60145,61454,63062,64055,64842
Dublin, California,45903,46804,48700,52027,54554,57545,59579,60797,63423,64826
San Marcos, Texas,45267,47687,50010,54403,58983,60446,61726,63526,63688,64776
Noblesville, Indiana,52909,54248,55542,56849,57725,58741,60304,61874,63303,64668
Santa Cruz, California,60578,61434,61954,62731,63172,64082,64396,64815,64643,64608
Janesville, Wisconsin,63623,63439,63509,63675,63853,63880,64023,64297,64483,64575
San Clemente, California,63605,64255,64612,64845,64947,65142,65185,64973,64699,64558
Brentwood, California,51813,52716,53508,54916,56854,58796,60571,62265,63760,64474
East Orange, New Jersey,64150,64332,64172,64221,64262,64438,64426,64306,64258,64367
Cheyenne, Wyoming,59778,60177,61438,62122,62279,62905,63451,63520,63835,64235
Eastvale, California,54054,54966,55627,56247,57386,59231,60670,62309,63815,64157
Chapel Hill town, North Carolina,57406,57370,58650,58860,59120,59046,59654,58918,63367,64051
Haverhill, Massachusetts,60999,61505,61860,62272,62605,62861,63200,63664,63926,64014
Lorain, Ohio,64076,63940,63756,63735,63773,63662,63729,63774,63984,63855
Grand Junction, Colorado,58846,59475,59660,59809,59643,60389,61236,61995,63131,63597
Springfield, Oregon,59445,59859,59974,60019,60164,60436,61531,62373,62806,63230
Coon Rapids, Minnesota,61539,61561,61958,62064,62163,62264,62374,62479,62491,62998
Idaho Falls, Idaho,57995,58518,58860,59034,59320,59858,60797,61768,62023,62888
North Miami, Florida,60322,60991,61553,61946,61903,62040,62018,61939,63481,62822
Encinitas, California,59684,60264,60890,61555,62023,62590,62921,62884,62750,62709
Skokie village, Illinois,64889,65087,65247,65328,65223,64888,64437,63847,63171,62700
Leander, Texas,27709,29120,30636,32774,35280,39019,43788,49792,55924,62608
Waltham, Massachusetts,60889,61382,62047,62327,63114,63003,62939,62822,62563,62495
Council Bluffs, Iowa,62370,62502,62160,62117,62397,62556,62458,62377,62221,62166
Hamilton, Ohio,62345,62329,62234,62299,62414,62345,62250,62114,62132,62082
Moore, Oklahoma,55425,56724,57830,57800,58462,59593,60479,60973,61452,62055
Pico Rivera, California,62960,63221,63430,63597,63637,63670,63438,63133,62677,62027
Montebello, California,62490,62903,63123,63279,63322,63379,63134,62823,62440,61954
Millcreek, Utah,58853,59397,59853,60253,60176,60147,60354,60718,61060,61450
Sanford, Florida,53971,54377,54937,56283,57643,58289,58968,59542,60107,61448
National City, California,58624,59042,59369,59776,60132,60721,60967,61083,61272,61394
Burnsville, Minnesota,60391,60649,60864,61144,61314,61203,61316,61431,61162,61339
Coconut Creek, Florida,53183,54324,55131,56920,58502,59202,59815,61070,61205,61248
Lakewood, Washington,57600,57945,58110,58144,58580,58885,59747,60316,60511,61037
Taylor, Michigan,62982,62631,62465,61957,62068,61777,61580,61404,61163,60922
Novi, Michigan,55287,56055,57043,58124,58634,58913,59598,59948,60787,60896
Marietta, Georgia,56708,57348,58167,58819,59547,59845,60679,60679,60647,60867
Ocala, Florida,56565,56707,56783,56804,57178,57719,58460,59091,60274,60786
Terre Haute, Indiana,60787,60993,61176,60921,60785,60596,60683,60816,60775,60622
Woodland, California,55615,55786,56272,56713,57328,58385,59098,59923,60474,60548
Petaluma, California,58037,58236,58728,59337,59753,60295,60468,60682,61826,60520
La Habra, California,59108,59658,59970,60224,60421,60473,60292,60898,60778,60513
Malden, Massachusetts,59691,60131,60591,60938,61217,61383,61276,61079,60735,60470
Commerce City, Colorado,46128,47507,48504,49717,51468,53161,54523,55925,58324,60336
Owensboro, Kentucky,57511,57755,58139,58357,58415,59031,59305,59523,59745,60131
Bristol, Connecticut,60502,60599,60658,60558,60588,60524,60304,60131,60101,59947
West Allis, Wisconsin,60418,60492,60695,60803,60765,60709,60331,59845,59410,59890
Taylorsville, Utah,58754,59761,60210,60530,60361,60290,60401,60057,60005,59805
Utica, New York,62209,62036,61886,61680,61289,60912,60618,60374,60040,59750
Monterey Park, California,60218,60460,60645,60796,60832,60908,60830,60668,60198,59669
Bonita Springs, Florida,44075,45039,46342,47664,49367,51850,54400,56175,57398,59637
Porterville, California,58197,58540,58708,58891,58995,59721,59699,59745,59685,59599
Greenwood, Indiana,51159,52031,52800,53658,54452,55272,56352,57356,58701,59458
Bartlett, Tennessee,57030,57388,58224,58231,58353,58665,58887,59101,59403,59440
Bradenton, Florida,49310,49642,50207,51175,52253,53838,55048,56686,57601,59439
Vineland, New Jersey,60820,60984,60921,60874,60887,60583,60312,59862,59856,59439
Pontiac, Michigan,59687,59913,60299,60448,60466,60260,60224,60123,59741,59438
Meriden, Connecticut,60832,60699,60672,60491,60384,60063,59708,59646,59566,59395
Gardena, California,58835,59114,59368,59788,59843,59946,59873,59871,59540,59329
Apex town, North Carolina,37991,38999,40659,42388,44064,45652,47543,50524,53859,59300
Royal Oak, Michigan,57260,57697,58139,58562,58763,58750,59226,59374,59356,59277
Cupertino, California,58689,59172,59769,60198,60592,60519,60900,60588,60004,59276
Lancaster, Pennsylvania,59277,59417,59406,59397,59411,59446,59486,59494,59407,59265
La Mesa, California,57149,57644,58099,58556,58855,59697,59751,59722,59389,59249
Gilroy, California,49006,49700,50718,51893,52538,53259,55369,57549,58588,59032
St. Clair Shores, Michigan,59767,59799,59986,60183,60085,59912,59788,59657,59282,58984
Des Plaines, Illinois,58454,58725,58978,59112,59104,58811,58430,58078,58854,58899
Springfield, Ohio,60531,60267,60079,59872,59730,59449,58906,59168,59263,58877
Corvallis, Oregon,54401,54730,55139,54710,55517,56375,57327,58546,58969,58856
Margate, Florida,53242,54190,54820,55256,55664,56741,57832,58200,58495,58796
Bowie, Maryland,55458,56000,56574,57102,57750,58225,58431,58563,58610,58643
Casa Grande, Arizona,48955,48904,49453,49777,51362,52687,54247,55695,57019,58632
Caldwell, Idaho,46535,47271,47708,48964,50122,51543,53106,54738,56478,58481
San Rafael, California,57797,58232,58448,58995,59130,59074,58918,58801,58704,58440
Great Falls, Montana,59243,59411,59284,59549,59359,59281,58915,58879,58751,58434
Sarasota, Florida,52219,52527,52954,53149,54015,54956,56440,57185,57746,58285
Richland, Washington,48876,50622,51767,52549,53248,54412,55095,56656,57533,58225
St. Peters, Missouri,52796,53414,54062,54825,56012,56742,57159,57179,57123,58212
Hendersonville, Tennessee,51485,52283,52919,53824,54851,55597,56563,57560,57634,58113
White Plains, New York,56946,57183,57255,57647,57733,58020,58000,58388,58141,58109
Huntersville town, North Carolina,47103,48184,49424,50673,51728,52973,55273,56385,57212,58098
Santee, California,53640,54523,55381,56151,56828,57471,57678,57825,57944,58081
Kokomo, Indiana,58193,58208,58212,58204,58158,57980,57762,57858,57922,58020
Arcadia, California,56322,56594,56801,57215,57513,57835,58238,58374,58385,57939
Casper, Wyoming,55261,56092,57684,59487,59673,60014,58933,57851,57515,57931
Dubuque, Iowa,57689,57916,58165,58491,58573,58566,58248,58299,57975,57882
Orland Park village, Illinois,56664,56968,57232,58470,58592,58531,58912,58579,58179,57857
